experiment,source,method,x_col,y_col,label_column,n_points,n_label_classes,n_pred_clusters,silhouette,calinski_harabasz,davies_bouldin,adjusted_rand,normalized_mutual_info
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_pca2_381e9a6ba35d.npz,pca2,pca2_1,pca2_2,major_group,1427,5,5,0.5210491207729187,4188.4779310999165,0.6453794469990584,0.0141531098815391,0.0230908050139091
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_pca2_381e9a6ba35d.npz,pca2,pca2_1,pca2_2,cysteine_group,1421,6,6,0.4989710697726152,4352.970801154066,0.6647228987182833,0.0075077706195788,0.0266058566577973
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_pca2_381e9a6ba35d.npz,pca2,pca2_1,pca2_2,Kmeans (n=7),1427,7,7,0.4596410730201481,4280.997757846373,0.7182616864533221,0.0144079273622461,0.0387162837703757
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_ppca2_d4fd0709685c.npz,ppca2,ppca2_1,ppca2_2,major_group,1427,5,5,0.3916036389326612,1298.8949167010362,0.7792022859364265,-0.0056771795889222,0.0075959032456312
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_ppca2_d4fd0709685c.npz,ppca2,ppca2_1,ppca2_2,cysteine_group,1421,6,6,0.3666764394410121,1226.4562569920863,0.8786675460912993,-0.0028279882319936,0.0081859830351128
full_or_mature_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_ppca2_d4fd0709685c.npz,ppca2,ppca2_1,ppca2_2,Kmeans (n=7),1427,7,7,0.3622101593572338,1202.664853248593,0.8208504519899102,0.0014237219837183,0.016570332433658
mature_only_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,major_group,1427,5,5,0.4191654381372418,1932.556953207846,0.750795424246787,0.0015275060455692,0.0138692931252395
mature_only_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,cysteine_group,1421,6,6,0.4103020474247754,1990.271344431537,0.7805318039918502,0.0061053932457571,0.0195280161057818
mature_only_biology,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/mature_only_pca_positive_control/tmp/proj_prot_t5_pca2_96d5f86204eb.npz,pca2,pca2_1,pca2_2,Kmeans (n=7),1427,7,7,0.4382837140554672,2143.312797566863,0.7003176305577478,0.0104459964383737,0.029443941435493
full_or_mature_sp_nuisance,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_pca2_381e9a6ba35d.npz,pca2,pca2_1,pca2_2,sp_in_embedding,1427,2,2,0.6079292468169442,2263.5903015297417,0.6205380084658235,0.0181839815840236,0.0115005494646196
full_or_mature_sp_nuisance,/home/donut/Desktop/2_Semester/Protein Prediction 1/ProtSpace/protspace_group1/results/3ftx_final_rhopca/protspace/full_or_mature_pca_rhopca/tmp/proj_prot_t5_ppca2_d4fd0709685c.npz,ppca2,ppca2_1,ppca2_2,sp_in_embedding,1427,2,2,0.3675745856968651,845.3863872808622,1.132705310259193,0.0012102408449385,0.0026292268445462
