identifier,sp_in_embedding,sequence_source,sequence_length_used,major_group,cysteine_group
P01385,no,mature_seq_fallback,73,Long-chain,Long-chain
P01434,no,mature_seq_fallback,62,Short-chain,Short-chain
P0DKW9,no,mature_seq_fallback,79,Long-chain,Long-chain
P34073,no,mature_seq_fallback,74,Long-chain,Long-chain
R4FI70,yes,full_seq,94,Long-chain,Long-chain
R4FI75,yes,full_seq,88,Long-chain,Long-chain
R4G2D7,yes,full_seq,83,Short-chain,Short-chain
R4G2D8,yes,full_seq,100,Long-chain,Long-chain
R4G2D9,yes,full_seq,94,Long-chain,Long-chain
R4G2P2,yes,full_seq,83,Short-chain,Short-chain
R4G2P6,yes,full_seq,88,Long-chain,Long-chain
R4G7E7,yes,full_seq,100,Long-chain,Long-chain
R4G7E8,yes,full_seq,94,Long-chain,Long-chain
A0A193CHL3,yes,full_seq,86,Non-standard,Non-standard
A0A193CHL5,yes,full_seq,95,Plesiotypic,Plesiotypic
A0A346CLY6,no,mature_seq_fallback,64,Non-standard,Non-standard
A0A346CLY7,no,mature_seq_fallback,65,Non-standard,Non-standard
A0A346CLY8,no,mature_seq_fallback,76,Non-standard,Plesiotypic
A0A346CLZ0,no,mature_seq_fallback,76,Non-standard,Plesiotypic
A0A346CLZ1,no,mature_seq_fallback,76,Plesiotypic,Plesiotypic
A0A346CM15,no,mature_seq_fallback,76,Non-standard,Plesiotypic
A0A346CM25,no,mature_seq_fallback,76,Non-standard,Plesiotypic
P19958,no,mature_seq_fallback,60,Short-chain,Short-chain
P19959,yes,full_seq,81,Short-chain,Short-chain
P19960,yes,full_seq,81,Short-chain,Short-chain
P32879,no,mature_seq_fallback,60,Short-chain,Short-chain
None|Alsi_9|Alligator_sinensis,yes,full_seq,109,Ly-6,Ly-6
None|Alsi_4|Alligator_sinensis,yes,full_seq,115,Ly-6,Ly-6
None|Alsi_3|Alligator_sinensis,yes,full_seq,151,Ly-6,Ly-6
None|Alsi_1|Alligator_sinensis,yes,full_seq,125,Ly-6,Ly-6
None|Alsi_5|Alligator_sinensis,yes,full_seq,126,Ly-6,Ly-6
None|Alsi_7|Alligator_sinensis,yes,full_seq,126,Ly-6,Ly-6
None|Alsi_8|Alligator_sinensis,yes,full_seq,127,Ly-6,Ly-6
None|Alsi_6|Alligator_sinensis,yes,full_seq,128,Ly-6,Ly-6
None|Alsi_10|Alligator_sinensis,yes,full_seq,125,Ly-6,Ly-6
None|Alsi_2|Alligator_sinensis,yes,full_seq,129,Ly-6,Ly-6
None|Anca_3|Anolis_carolinensis,yes,full_seq,134,Ly-6,Ly-6
None|Anca_1|Anolis_carolinensis,yes,full_seq,123,Ly-6,Ly-6
None|Anca_5|Anolis_carolinensis,yes,full_seq,126,Ly-6,Ly-6
None|Anca_6|Anolis_carolinensis,yes,full_seq,126,Ly-6,Ly-6
None|Anca_8|Anolis_carolinensis,yes,full_seq,104,Ly-6,Ly-6
None|Anca_10|Anolis_carolinensis,yes,full_seq,126,Ly-6,Ly-6
None|Anca_9|Anolis_carolinensis,yes,full_seq,102,Ly-6,Ly-6
None|Anca_4|Anolis_carolinensis,yes,full_seq,112,Ly-6,Pre-3FTx
None|Anca_7|Anolis_carolinensis,yes,full_seq,125,Ly-6,Ly-6
None|Anca_2|Anolis_carolinensis,yes,full_seq,127,Ly-6,Ly-6
P19003,no,mature_seq_fallback,63,Short-chain,Short-chain
P19004,no,mature_seq_fallback,64,Short-chain,Short-chain
P25670,no,mature_seq_fallback,68,Long-chain,Long-chain
NCBI|ASPSC_GHOC01000373.1_C401_153|Aspidelaps_scutatus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|ASPSC_GHOC01001197.1_C406_203|Aspidelaps_scutatus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|ASPSC_GHOC01001435.1_C398_174|Aspidelaps_scutatus,no,mature_seq_fallback,75,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000196.1_C418_209|Aspidelaps_scutatus,no,mature_seq_fallback,70,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000868.1_C426_214|Aspidelaps_scutatus,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|ASPSC_GHOC01001195.1_C374_120|Aspidelaps_scutatus,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|ASPSC_GHOC01002299.1_C248_45|Aspidelaps_scutatus,no,mature_seq_fallback,68,Non-standard,Non-standard
NCBI|ASPSC_GHOC01001478.1_C367_110|Aspidelaps_scutatus,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000043.1_C425_180|Aspidelaps_scutatus,no,mature_seq_fallback,61,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000507.1_C460_218|Aspidelaps_scutatus,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000786.1_C477_220|Aspidelaps_scutatus,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|ASPSC_GHOC01002308.1_C243_1|Aspidelaps_scutatus,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000706.1_C513_331|Aspidelaps_scutatus,no,mature_seq_fallback,61,Short-chain,Short-chain
NCBI|ASPSC_GHOC01000120.1_C395_189|Aspidelaps_scutatus,no,mature_seq_fallback,69,Long-chain,Long-chain
NCBI|ASPSC_GHOC01000728.1_C419_201|Aspidelaps_scutatus,no,mature_seq_fallback,72,Non-standard,Long-chain
NCBI|ASPSC_GHOC01001452.1_C395_195|Aspidelaps_scutatus,no,mature_seq_fallback,67,Long-chain,Long-chain
NCBI|ASPSC_GHOC01002482.1_C199_2|Aspidelaps_scutatus,no,mature_seq_fallback,66,Long-chain,Long-chain
M9T1L2,yes,full_seq,81,Non-standard,Plesiotypic
M9T271,yes,full_seq,81,Non-standard,Plesiotypic
NCBI|Atractaspis_aterrima_GAME01026808|Atractaspis_aterrima,no,mature_seq_fallback,67,Non-standard,Non-standard
NCBI|ATRAT_GAME01039965.1_33_296|Atractaspis_aterrima,no,mature_seq_fallback,67,Non-standard,Non-standard
NCBI|ATRAT_GAMF01035612.1_104_391|Atractaspis_aterrima,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
NCBI|Atractaspis_aterrima_GAMF01050194|Atractaspis_aterrima,no,mature_seq_fallback,67,Plesiotypic,Plesiotypic
NCBI|ATRAT_GAMF01047773.1_120_359|Atractaspis_aterrima,no,mature_seq_fallback,59,Plesiotypic,Plesiotypic
NCBI|ATRAT_GAMF01050194.1_30_284|Atractaspis_aterrima,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
NCBI|Atractaspis_aterrima_GAMF01005539|Atractaspis_aterrima,no,mature_seq_fallback,66,Plesiotypic,Plesiotypic
NCBI|Atractaspis_aterrima_GAMF01040875|Atractaspis_aterrima,no,mature_seq_fallback,66,Plesiotypic,Plesiotypic
NCBI|Atractaspis_aterrima_GAMF01055489|Atractaspis_aterrima,no,mature_seq_fallback,66,Plesiotypic,Plesiotypic
NCBI|ATRAT_GAMF01005539.1_32_289|Atractaspis_aterrima,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
NCBI|ATRAT_GAMF01040875.1_33_287|Atractaspis_aterrima,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
B2BRQ5,yes,full_seq,96,Long-chain,Long-chain
B2BRQ6,yes,full_seq,107,Long-chain,Long-chain
B2BRQ7,yes,full_seq,89,Long-chain,Long-chain
B2BRQ8,yes,full_seq,88,Long-chain,Long-chain
B2BRQ9,yes,full_seq,90,Long-chain,Long-chain
B2BRR0,yes,full_seq,88,Long-chain,Long-chain
B2BRR1,yes,full_seq,88,Long-chain,Long-chain
B2BRR3,yes,full_seq,88,Long-chain,Long-chain
B2BRR4,yes,full_seq,88,Long-chain,Long-chain
