identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
A0A0C5B5G6,,PF21945 (MT-RNR1)|46.4,,KW-0238 (DNA-binding);KW-0496 (Mitochondrion);KW-0539 (Nucleus);KW-0892 (Osteogenesis);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,MT-RNR1,Mitochondrial-derived peptide MOTS-c,MOTSC_HUMAN
A0A1B0GTW7,peptidase M8 family|IC,PF01457 (Peptidase_M8)|95.8,CL0126 (Peptidase_MA),KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-1056 (Heterotaxy);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0862 (Zinc),Hominidae,CIROP,Ciliated left-right organizer metallopeptidase,CIROP_HUMAN
A0JNW5,,PF24917 (BLTP3A_B)|2830.9,CL0760 (RBG),KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0967 (Endosome);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,BLTP3B,Bridge-like lipid transfer protein family member 3B,BLT3B_HUMAN
A0JP26,POTE family|IC,PF12796 (Ank_2)|129.9;PF14915 (CCDC144C)|87.7,CL0465 (Ank),KW-0025 (Alternative splicing);KW-0040 (ANK repeat);KW-0175 (Coiled coil);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,POTEB3,POTE ankyrin domain family member B3,POTB3_HUMAN
A0PK11,clarin family|IC,PF25807 (Clarin-2)|376.8,CL0375 (Transporter),KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0209 (Deafness);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-1009 (Hearing);KW-0472 (Membrane);KW-1010 (Non-syndromic deafness);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,CLRN2,Clarin-2,CLRN2_HUMAN
A1A4S6,,PF00169 (PH)|37.4;PF00620 (RhoGAP)|142.0;PF14604 (SH3_9)|36.4;PF16746 (BAR_3)|290.5,CL0010 (SH3);CL0145 (Golgi-transport);CL0266 (PH);CL0409 (GAP),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0967 (Endosome);KW-0343 (GTPase activation);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0728 (SH3 domain),Hominidae,ARHGAP10,Rho GTPase-activating protein 10,RHG10_HUMAN
A1A519,FAM170 family|IC,PF17734 (Spt46)|51.8,,KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0238 (DNA-binding);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,FAM170A,Protein FAM170A,F170A_HUMAN
A1L190,,PF15191 (Synaptonemal_3)|154.6,,KW-0002 (3D-structure);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0158 (Chromosome);KW-0175 (Coiled coil);KW-0469 (Meiosis);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SYCE3,Synaptonemal complex central element protein 3,SYCE3_HUMAN
A1L3X0,ELO family|SAM,PF01151 (ELO)|230.4,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-1015 (Disulfide bond);KW-0256 (Endoplasmic reticulum);KW-0275 (Fatty acid biosynthesis);KW-0276 (Fatty acid metabolism);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,ELOVL7,Very long chain fatty acid elongase 7,ELOV7_HUMAN
A1X283,SH3PXD2 family|IC,PF00018 (SH3_1)|130.4;PF00787 (PX)|50.3;PF07653 (SH3_2)|111.2,CL0010 (SH3),KW-0965 (Cell junction);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0221 (Differentiation);KW-0225 (Disease variant);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0728 (SH3 domain),Hominidae,SH3PXD2B,SH3 and PX domain-containing protein 2B,SPD2B_HUMAN
