label_type	label	count	meaning
ec_top_display	no_ec	6957	No EC annotation: protein is not annotated as an enzyme with an EC number in Swiss-Prot.
ec_top_display	EC2	1100	Transferases: enzymes transferring functional groups between molecules.
ec_top_display	EC3	1032	Hydrolases: enzymes cleaving bonds using water.
ec_top_display	EC1	336	Oxidoreductases: enzymes catalyzing oxidation-reduction reactions.
ec_top_display	EC5	99	Isomerases: enzymes catalyzing rearrangements within a molecule.
ec_top_display	EC4	86	Lyases: enzymes cleaving bonds without hydrolysis or oxidation, often forming double bonds.
ec_top_display	EC6	77	Ligases: enzymes joining molecules, usually coupled to ATP or similar energy carriers.
ec_top_display	EC7	70	Translocases: enzymes moving ions or molecules across membranes or separating them within membranes.
keyword_first	3D-structure	5679	First UniProt keyword attached to the protein: '3D-structure'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Alternative splicing	1893	First UniProt keyword attached to the protein: 'Alternative splicing'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Acetylation	511	First UniProt keyword attached to the protein: 'Acetylation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cell membrane	182	First UniProt keyword attached to the protein: 'Cell membrane'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Activator	138	First UniProt keyword attached to the protein: 'Activator'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cytoplasm	110	First UniProt keyword attached to the protein: 'Cytoplasm'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Coiled coil	74	First UniProt keyword attached to the protein: 'Coiled coil'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	DNA-binding	73	First UniProt keyword attached to the protein: 'DNA-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Developmental protein	68	First UniProt keyword attached to the protein: 'Developmental protein'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Calcium	61	First UniProt keyword attached to the protein: 'Calcium'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	ATP-binding	58	First UniProt keyword attached to the protein: 'ATP-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Actin-binding	48	First UniProt keyword attached to the protein: 'Actin-binding'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Endoplasmic reticulum	46	First UniProt keyword attached to the protein: 'Endoplasmic reticulum'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Direct protein sequencing	45	First UniProt keyword attached to the protein: 'Direct protein sequencing'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Disulfide bond	41	First UniProt keyword attached to the protein: 'Disulfide bond'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Acyltransferase	41	First UniProt keyword attached to the protein: 'Acyltransferase'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cell projection	38	First UniProt keyword attached to the protein: 'Cell projection'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Disease variant	36	First UniProt keyword attached to the protein: 'Disease variant'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Keratin	34	First UniProt keyword attached to the protein: 'Keratin'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Adaptive immunity	26	First UniProt keyword attached to the protein: 'Adaptive immunity'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Alternative initiation	25	First UniProt keyword attached to the protein: 'Alternative initiation'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Glycoprotein	25	First UniProt keyword attached to the protein: 'Glycoprotein'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cell junction	25	First UniProt keyword attached to the protein: 'Cell junction'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Apoptosis	24	First UniProt keyword attached to the protein: 'Apoptosis'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cleavage on pair of basic residues	19	First UniProt keyword attached to the protein: 'Cleavage on pair of basic residues'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Membrane	19	First UniProt keyword attached to the protein: 'Membrane'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Chromosome	17	First UniProt keyword attached to the protein: 'Chromosome'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
keyword_first	Cell cycle	16	First UniProt keyword attached to the protein: 'Cell cycle'. It is a curated Swiss-Prot descriptor for function, location, process, disease, structure, modification, or technical evidence.
