identifier,protein_families,pfam,pfam_clan,keyword,family,genus,gene_name,protein_name,uniprot_kb_id
O31506,In the N-terminal section|TAS,PF04740 (LXG)|194.5;PF13930 (Endonuclea_NS_2)|168.0,CL0263 (His-Me_finger);CL0352 (EsxAB),KW-1003 (Cell membrane);KW-0175 (Coiled coil);KW-0238 (DNA-binding);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0540 (Nuclease);KW-1185 (Reference proteome);KW-0800 (Toxin),Bacillaceae,Bacillus,yeeF,Toxin YeeF,YEEF_BACSU
O34344,,PF26137 (Toxin_SdpC)|103.2,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0078 (Bacteriocin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0843 (Virulence),Bacillaceae,Bacillus,sdpC,Sporulation delaying protein C,SDPC_BACSU
Q1JPL7,In the N-terminal section|IC,PF01095 (Pectinesterase)|492.3;PF04043 (PMEI)|75.8,CL0268 (Pec_lyase-like),KW-0929 (Antimicrobial);KW-0063 (Aspartyl esterase);KW-0134 (Cell wall);KW-0961 (Cell wall biogenesis/degradation);KW-0903 (Direct protein sequencing);KW-0295 (Fungicide);KW-0378 (Hydrolase);KW-0611 (Plant defense);KW-0652 (Protein synthesis inhibitor);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Brassicaceae,Arabidopsis,PME18,Pectinesterase/pectinesterase inhibitor 18,PME18_ARATH
Q07833,RHS/WapA nuclease family|IC,PF02018 (CBM_4_9)|47.8;PF05593 (RHS_repeat)|260.4;PF20148 (DUF6531)|50.6;PF24517 (CBM96)|61.0;PF25023 (TEN_YD-shell)|181.0,CL0055 (Nucleoplasmin);CL0202 (GBD);CL0877 (RHS_sf),KW-0134 (Cell wall);KW-0903 (Direct protein sequencing);KW-0255 (Endonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0843 (Virulence),Bacillaceae,Bacillus,wapA,tRNA nuclease WapA,WAPA_BACSU
P77335,hemolysin E family|IC,PF06109 (HlyE)|493.0,,KW-0002 (3D-structure);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-1032 (Host cell membrane);KW-1043 (Host membrane);KW-0472 (Membrane);KW-0574 (Periplasm);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0843 (Virulence),Enterobacteriaceae,Escherichia,hlyE,"Hemolysin E, chromosomal",HLYE_ECOLI
P0A968,,PF00313 (CSD)|100.6,CL0021 (OB),KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0236 (DNA replication inhibitor);KW-0238 (DNA-binding);KW-1185 (Reference proteome);KW-0694 (RNA-binding);KW-0800 (Toxin),Enterobacteriaceae,Escherichia,cspD,Cold shock-like protein CspD,CSPD_ECOLI
A0A0B4U9L8,venom metalloproteinase (M12B) family|TAS,PF00200 (Disintegrin)|78.6;PF01421 (Reprolysin)|212.0;PF01562 (Pep_M12B_propep)|66.2;PF08516 (ADAM_CR)|62.5,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0106 (Calcium);KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0862 (Zinc);KW-0865 (Zymogen),Viperidae,Vipera,,Zinc metalloproteinase-disintegrin-like protein F1,VMF1_VIPAA
A0A0D4WV12,arthropod phospholipase D family|IC,PF13653 (GDPD_2)|36.1,CL0036 (TIM_barrel),KW-0002 (3D-structure);KW-0204 (Cytolysis);KW-1061 (Dermonecrotic toxin);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0800 (Toxin);KW-0865 (Zymogen),Sicariidae,Sicarius,,Dermonecrotic toxin StSicTox-betaIB1i,BIB11_SICTE
A0A0H2US87,OspC family|IC,PF06128 (Shigella_OspC)|621.3,,KW-0002 (3D-structure);KW-0040 (ANK repeat);KW-1035 (Host cytoplasm);KW-0456 (Lyase);KW-0520 (NAD);KW-0614 (Plasmid);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0800 (Toxin);KW-0843 (Virulence),Enterobacteriaceae,Shigella,ospC3,Arginine ADP-riboxanase OspC3,OSPC3_SHIFL
A0A0H3AIG7,VgrG protein family|IC,PF04717 (Phage_base_V)|53.8;PF05954 (Phage_GPD)|267.3;PF16671 (ACD)|790.8;PF22178 (Gp5_trimer_C)|77.9,CL0021 (OB);CL0504 (Phage_barrel);CL0606 (Phage_fibre),KW-0002 (3D-structure);KW-0067 (ATP-binding);KW-1035 (Host cytoplasm);KW-0436 (Ligase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0964 (Secreted);KW-0800 (Toxin);KW-0843 (Virulence),Vibrionaceae,Vibrio,vgrG1,Actin cross-linking toxin VgrG1,VGRG1_VIBC3
