identifier,ec,keyword,length,protein_families,reviewed,root,domain,kingdom,phylum,class,order,family,genus,species,gene_name,protein_name,uniprot_kb_id
A0A023IWD9,,KW-0800 (Toxin),34,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita exitialis,,MSDIN-like toxin proprotein 4,MSD4_AMAEX
A0A023IWE0,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,MSDIN-like toxin proprotein 1,MSD1_AMAFL
A0A023IWE1,,KW-0800 (Toxin),31,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,MSDIN-like toxin proprotein 4,MSD4_AMAPH
A0A023IWE2,,KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea,,Beta-amanitin proprotein,BAMAT_AMAPL
A0A023IWE3,,KW-0379 (Hydroxylation);KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,AMA,Alpha-amanitin proprotein,AAMA1_AMAFL
A0A023IWG1,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,MSDIN-like toxin proprotein 3,MSD3_AMAFL
A0A023IWG2,,KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,MSDIN-like toxin proprotein 6,MSD6_AMAPH
A0A023IWG3,,KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,Beta-amanitin proprotein,BAMAT_AMAFL
A0A023IWG4,,KW-0379 (Hydroxylation);KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,AMA,Alpha-amanitin proprotein,AAMAT_AMAFU
A0A023IWI4,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuligineoides,,MSDIN-like toxin proprotein 2,MSD2_AMAFL
A0A023IWI5,,KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,MSDIN-like toxin proprotein 5,MSD5_AMAPH
A0A023IWI6,,KW-0883 (Thioether bond);KW-0800 (Toxin),33,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,,Beta-amanitin proprotein,BAMAT_AMAFU
A0A023IWI8,,KW-0883 (Thioether bond);KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea,PHA,Phallacidin proprotein,PHAT_AMAPL
A0A023IWK3,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,,MSDIN-like toxin proprotein 2,MSD2_AMAFU
A0A023IWK4,,KW-0800 (Toxin),32,MSDIN fungal toxin family,Swiss-Prot,cellular organisms,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita phalloides,,MSDIN-like toxin proprotein 3,MSD3_AMAPH
